"LONGITUD","LATITUD","CODIGO_COMUNA","SECTOR"
-75.62261393,6.24621318,"13","Oficial"
-75.56143542,6.17705986,"14","No Oficial"
-75.65753884,6.31522036,"60","Oficial"
-75.61854296,6.30223227,"60","Oficial"
-75.55029261,6.30392003,"02","Oficial"
-75.55054919,6.29234695,"02","Oficial"
-75.56167676,6.24657947,"10","Oficial"
-75.5934368,6.22017773,"16","Oficial"
-75.55740167,6.27645049,"04","Oficial"
-75.54828316,6.27675839,"03","Oficial"
-75.54871883,6.27644471,"03","Oficial"
-75.56291787,6.28015455,"04","Oficial"
-75.56031976,6.24570812,"10","Oficial"
-75.56678278,6.24242843,"10","Oficial"
-75.55463995,6.25370996,"08","Oficial"
-75.55634391,6.25186053,"10","Oficial"
-75.55695796,6.25242272,"10","Oficial"
-75.58990729,6.20236364,"15","Oficial"
-75.58958726,6.19953944,"15","Oficial"
-75.59178393,6.19721866,"15","Oficial"
-75.5880279,6.20249278,"15","Oficial"
-75.55479285,6.23522465,"09","Oficial"
-75.55905914,6.23341983,"09","Oficial"
-75.58749003,6.21246897,"15","Oficial"
-75.60424743,6.22665037,"16","Oficial"
-75.5539442,6.24513872,"08","Oficial"
-75.5497095,6.24364279,"08","Oficial"
-75.54782873,6.2529372,"08","Oficial"
-75.57349912,6.29628278,"06","Oficial"
-75.61692816,6.24579902,"13","Oficial"
-75.57496533,6.29130709,"05","Oficial"
-75.61441702,6.23474289,"16","Oficial"
-75.56514379,6.26782327,"04","Oficial"
-75.56893783,6.30780608,"05","Oficial"
-75.5696608,6.30879366,"05","Oficial"
-75.57139528,6.30836066,"05","Oficial"
-75.56253414,6.28365039,"04","Oficial"
-75.56331503,6.28394823,"04","Oficial"
-75.55885434,6.28733719,"04","Oficial"
-75.56361437,6.27966164,"04","Oficial"
-75.56349078,6.28777988,"04","Oficial"
-75.54934244,6.23977728,"09","Oficial"
-75.55565016,6.23847018,"09","Oficial"
-75.54868707,6.2316413,"09","Oficial"
-75.60342834,6.2110764,"16","Oficial"
-75.55013315,6.26862975,"03","Oficial"
-75.54805154,6.26886421,"03","Oficial"
