"codigo_barrio","estrato","total_predios"
"1001",4,3983
"1002",0,1
"1003",0,1766
"1004",3,3544
"1005",0,1046
"1006",0,3895
"1007",0,6735
"1008",0,1063
"1009",0,53
"101",2,4775
"1010",0,630
"1011",0,1703
"1012",0,1566
"1013",3,2470
"1014",3,1976
"1015",4,4709
"1016",4,9561
"1017",4,2515
"1018",0,5482
"1019",0,20364
"102",1,1672
"1020",0,8299
"103",2,4332
"104",2,2367
"105",2,2997
"106",2,2506
"107",2,2457
"108",1,1023
"109",1,282
"110",1,584
"1101",0,3878
"1102",0,5115
"1103",0,1916
"1104",0,5276
"1105",0,11304
"1106",0,2
"1107",0,3630
"1108",0,16050
"1109",0,5877
"111",1,1356
"1110",5,5313
"1111",0,7050
"1112",5,3701
"1113",5,4019
"1114",0,9236
"1115",0,6457
"1116",0,7
"1117",0,3815
"112",1,2294
"1201",0,2462
"1202",5,3664
"1203",4,1827
"1204",4,5714
"1205",4,5310
"1206",3,2808
"1207",4,2790
"1208",4,3535
"1209",4,2921
"1210",0,4526
"1211",5,2991
"1212",0,7240
"1213",0,8527
"1301",1,4098
"1302",1,1906
"1303",4,1235
"1304",3,3055
"1305",2,760
"1306",3,4295
"1307",1,2697
"1308",3,1773
"1309",3,2061
"1310",2,3113
"1311",4,1724
"1312",2,1834
"1313",2,994
"1314",1,2832
"1315",1,1947
"1316",1,4074
"1317",2,582
"1318",2,3880
"1319",2,1713
"1401",0,753
"1403",0,11597
"1404",0,14303
"1405",0,4652
"1406",0,6083
"1407",0,3624
"1408",0,6062
"1409",0,13786
"1410",0,9289
"1411",0,13484
"1412",0,8557
"1413",0,10048
"1414",0,3374
"1415",0,9789
"1416",0,8728
"1417",0,15570
"1418",0,2175
"1419",0,2141
"1420",0,2248
"1421",0,10316
"1422",0,6630
"1423",0,11334
"1501",0,18159
"1502",0,321
"1503",3,3394
"1504",4,3656
"1506",0,1017
"1507",4,2808
"1509",3,4603
"1510",0,2066
"1511",3,5353
"1601",0,5299
"1602",0,5570
"1603",0,6512
"1604",0,2085
"1605",3,7018
"1606",3,3323
"1607",0,3781
"1608",0,6794
"1609",4,11842
"1610",2,7503
"1611",0,15209
"1612",4,5848
"1613",2,3414
"1614",0,4367
"1615",3,3420
"1616",2,2726
"1617",0,5677
"1618",0,2696
"1619",4,2477
"1620",0,3121
"1621",0,977
"201",2,2323
"202",2,1961
"203",2,932
"204",2,1174
"205",2,2586
"206",2,2362
"207",2,2763
"208",2,1208
"209",2,1821
"210",2,2807
"211",2,1616
"301",2,3693
"302",2,6044
"303",3,4281
"304",2,2791
"305",2,2424
"306",3,1046
