"FECHA_HECHO","LONGITUD","LATITUD","SEXO","EDAD","MODALIDAD","LUGAR","NOMBRE_BARRIO","COMUNA"
"2019-04-23T07:30:00.000-05:00",-75.569854,6.25722555,"Mujer",50,"Ahorcamiento o estrangulamiento","Vía pública","Estación Villa","LA CANDELARIA"
"2019-05-11T19:51:00.000-05:00",-75.610368,6.22280611,"Hombre",24,"Arma de fuego","Vía pública","Altavista","BELEN"
"2019-05-11T21:36:00.000-05:00",-75.620391,6.26238217,"Hombre",34,"Arma de fuego","Vía pública","El Socorro","SAN JAVIER"
"2019-05-11T22:03:00.000-05:00",-75.5617664,6.26958878,"Hombre",20,"Arma de fuego","Vía pública","San Pedro","ARANJUEZ"
"2019-05-12T17:40:00.000-05:00",-75.532685,6.23627692,"Hombre",34,"Arma de fuego","Vía pública","Villa Lilliam","VILLA HERMOSA"
"2019-05-12T14:30:00.000-05:00",-75.6419583,6.196195365,"Hombre",25,"Arma de fuego","Zona despoblada","La Verde","SAN ANTONIO DE PRADO"
"2019-05-11T23:00:00.000-05:00",-75.5553186,6.290154498,"Hombre",37,"Cortopunzante","Vía pública","Moscú No.1","SANTA CRUZ"
"2019-05-13T00:34:00.000-05:00",-75.557196,6.27162258,"Hombre",22,"Arma de fuego","Vía pública","Campo Valdés No.1","ARANJUEZ"
"2019-05-11T23:50:00.000-05:00",-75.566655,6.24002322,"Mujer",21,"Ahorcamiento o estrangulamiento","Lote baldío","Las Palmas","LA CANDELARIA"
"2019-05-13T20:00:00.000-05:00",-75.5621963,6.249261892,"Hombre",29,"Arma de fuego","Parque","La Candelaria","LA CANDELARIA"
"2019-05-13T05:35:00.000-05:00",-75.5478864,6.242539648,"Hombre",29,"Arma de fuego","Vía pública","El Pinal","VILLA HERMOSA"
"2019-05-14T05:50:00.000-05:00",-75.61,6.29,"Hombre",20,"Arma de fuego","Vía pública","Área de expansión Pajarito","SAN CRISTOBAL"
"2019-05-14T05:50:00.000-05:00",-75.61,6.29,"Hombre",25,"Cortopunzante","Vía pública","Área de expansión Pajarito","SAN CRISTOBAL"
"2019-05-14T05:50:00.000-05:00",-75.61,6.29,"Hombre",25,"Arma de fuego","Vía pública","Área de expansión Pajarito","SAN CRISTOBAL"
"2019-05-14T05:50:00.000-05:00",-75.61,6.29,"Hombre",22,"Cortopunzante","Vía pública","Área de expansión Pajarito","SAN CRISTOBAL"
"2019-05-14T15:30:00.000-05:00",-75.5897144,6.289479015,"Hombre",20,"Arma de fuego","Parque","Aures No.2","ROBLEDO"
"2019-05-14T17:50:00.000-05:00",-75.599247,6.2900616,"Hombre",38,"Arma de fuego","Vía pública","Monteclaro","ROBLEDO"
"2019-05-15T12:30:00.000-05:00",-75.6459728,6.2804595,"Hombre",31,"Arma de fuego","Vía pública","Las Playas S.C.","SAN CRISTOBAL"
"2019-05-15T22:00:00.000-05:00",-75.566202,6.25391623,"Hombre",22,"Arma de fuego","Vía pública","Villa Nueva","LA CANDELARIA"
"2019-05-15T17:28:00.000-05:00",-75.61195263,6.22348221,"Hombre",26,"Arma de fuego","Vía pública","Altavista Sector Central","ALTAVISTA"
"2019-05-15T21:32:00.000-05:00",-75.604535,6.2055951,"Hombre",27,"Arma de fuego","Residencia","La Hondonada","BELEN"
"2019-05-15T21:32:00.000-05:00",-75.604535,6.2055951,"Hombre",26,"Arma de fuego","Residencia","La Hondonada","BELEN"
"2019-05-19T00:37:00.000-05:00",-75.5488111,6.2923986,"Hombre",37,"Arma de fuego","Taxi","Granizal","POPULAR"
"2019-05-17T03:28:00.000-05:00",-75.568301,6.254146518,"Hombre",31,"Cortopunzante","Vía pública","La Candelaria","LA CANDELARIA"
"2019-05-17T22:28:00.000-05:00",-75.5399108,6.2509255,"Hombre",43,"Cortopunzante","Residencia","Llanaditas","VILLA HERMOSA"
"2019-05-17T18:50:00.000-05:00",-75.6052748,6.26124578,"Hombre",18,"Arma de fuego","Taller mecánico","Los Alcázares","SAN JAVIER"
"2019-05-18T04:20:00.000-05:00",-75.6011609,6.2880565,"Hombre",16,"Cortopunzante","Vía pública","Monteclaro","ROBLEDO"
"2019-05-18T12:45:00.000-05:00",-75.567664,6.25718939,"Hombre",29,"Arma de fuego","Vía pública","Jesús Nazareno","LA CANDELARIA"
"2019-05-18T02:22:00.000-05:00",-75.6022625,6.2358798,"Hombre",28,"Arma de fuego","Vía pública","Nueva Villa del Aburrá","BELEN"
"2019-05-18T03:59:00.000-05:00",-75.6119673,6.22895102,"Hombre",21,"Arma de fuego","Vía pública","Las Violetas","BELEN"
"2019-05-18T23:00:00.000-05:00",-75.56319,6.24153326,"Hombre",45,"Ahorcamiento o estrangulamiento","Vía pública","El Salvador","BUENOS AIRES"
"2019-05-20T04:00:00.000-05:00",-75.5706919,6.25466984,"Hombre",36,"Cortopunzante","Hotel, motel y hostal","Estación Villa","LA CANDELARIA"
"2019-05-21T14:42:00.000-05:00",-75.6078058,6.25746721,"Hombre",20,"Arma de fuego","Residencia","Santa Lucía","LA AMERICA"
"2019-05-22T09:00:00.000-05:00",-75.5671857,6.25612201,"Hombre",30,"Cortopunzante","Vía pública","Estación Villa","LA CANDELARIA"
"2019-05-22T12:23:00.000-05:00",-75.555147,6.24699487,"Hombre",31,"Arma de fuego","Vía pública","Boston","LA CANDELARIA"
"2019-05-23T14:36:00.000-05:00",-75.5662398,6.255853817,"Hombre",27,"Arma de fuego","Vía pública","Villa Nueva","LA CANDELARIA"
"2019-05-23T16:05:00.000-05:00",-75.5673288,6.257281585,"Mujer",44,"Arma de fuego","Hotel, motel y hostal","Jesús Nazareno","LA CANDELARIA"
"2019-05-23T16:05:00.000-05:00",-75.5673288,6.257281585,"Mujer",38,"Arma de fuego","Hotel, motel y hostal","Jesús Nazareno","LA CANDELARIA"
"2019-05-25T17:12:00.000-05:00",-75.5528734,6.29083956,"Hombre",42,"Arma de fuego","Bus de servicio público","Moscú No.1","POPULAR"
"2019-05-24T23:30:00.000-05:00",-75.606595,6.2797329,"Hombre",24,"Arma de fuego","Vía pública","Cucaracho","ROBLEDO"
"2019-05-25T23:37:00.000-05:00",-75.607716,6.2248363,"Hombre",15,"Arma de fuego","Vía pública","Altavista","BELEN"
"2019-05-26T03:48:00.000-05:00",-75.574979,6.2596938,"Hombre",47,"Cortopunzante","Quebrada o rio","Universidad Nacional","ROBLEDO"
"2019-05-26T22:05:00.000-05:00",-75.56764,6.2835213,"Hombre",22,"Arma de fuego","Vía pública","Moravia","ARANJUEZ"
"2019-05-25T23:49:00.000-05:00",-75.630943,6.2230012,"Hombre",19,"Arma de fuego","Vía pública","Altavista Sector Central","ALTAVISTA"
"2019-05-25T23:48:00.000-05:00",-75.630943,6.2230012,"Hombre",27,"Arma de fuego","Vía pública","Altavista Sector Central","ALTAVISTA"
"2019-05-27T23:21:00.000-05:00",-75.609305,6.279492,"Hombre",16,"Arma de fuego","Zona boscosa","Área de expansión Pajarito","SAN CRISTOBAL"
"2019-05-27T23:21:00.000-05:00",-75.609305,6.279492,"Hombre",18,"Arma de fuego","Zona boscosa","Área de expansión Pajarito","SAN CRISTOBAL"
"2019-05-28T11:15:00.000-05:00",-75.567694,6.2943782,"Hombre",27,"Arma de fuego","Bus de servicio público","Girardot","CASTILLA"
"2019-05-28T22:02:00.000-05:00",-75.5621994,6.24166568,"Hombre",37,"Arma de fuego","Vía pública","El Salvador","BUENOS AIRES"
"2019-04-16T22:00:00.000-05:00",-75.5652602,6.234235703,"Mujer",27,"Por establecer","Zona boscosa","Las Palmas","LA CANDELARIA"
"2019-04-24T22:04:00.000-05:00",-75.614992,6.206008,"Mujer",36,"Arma de fuego","Residencia","San Jose del Manzanillo","ALTAVISTA"
"2019-04-25T23:45:00.000-05:00",-75.641479,6.28193176,"Hombre",28,"Arma de fuego","Vía pública","Travesias","SAN CRISTOBAL"
