"CODIGO","NOMBRE","AÑO","MES","TOTAL_HOMICIDIOS","POBLACION","HOGARES","HABS_POR_HOGAR","POLICIAS","ESTRATO"
1,"POPULAR",2018,1,2,136986,43822,3.12596412760714,1,2
1,"POPULAR",2018,2,0,136986,43822,3.12596412760714,1,2
1,"POPULAR",2018,3,1,136986,43822,3.12596412760714,1,2
1,"POPULAR",2018,4,1,136986,43822,3.12596412760714,1,2
1,"POPULAR",2018,5,2,136986,43822,3.12596412760714,1,2
1,"POPULAR",2018,6,1,136986,43822,3.12596412760714,1,2
1,"POPULAR",2018,7,2,136986,43822,3.12596412760714,1,2
1,"POPULAR",2018,8,0,136986,43822,3.12596412760714,1,2
1,"POPULAR",2018,9,2,136986,43822,3.12596412760714,1,2
1,"POPULAR",2018,10,0,136986,43822,3.12596412760714,1,2
1,"POPULAR",2018,11,1,136986,43822,3.12596412760714,1,2
1,"POPULAR",2018,12,0,136986,43822,3.12596412760714,1,2
1,"POPULAR",2019,1,1,140218,45675,3.06990695128626,1,2
1,"POPULAR",2019,2,1,140218,45675,3.06990695128626,1,2
1,"POPULAR",2019,3,1,140218,45675,3.06990695128626,1,2
1,"POPULAR",2019,4,2,140218,45675,3.06990695128626,1,2
1,"POPULAR",2019,5,3,140218,45675,3.06990695128626,1,2
1,"POPULAR",2019,6,4,140218,45675,3.06990695128626,1,2
1,"POPULAR",2019,7,1,140218,45675,3.06990695128626,1,2
1,"POPULAR",2019,8,1,140218,45675,3.06990695128626,1,2
1,"POPULAR",2019,9,3,140218,45675,3.06990695128626,1,2
1,"POPULAR",2019,10,0,140218,45675,3.06990695128626,1,2
1,"POPULAR",2019,11,1,140218,45675,3.06990695128626,1,2
1,"POPULAR",2019,12,2,140218,45675,3.06990695128626,1,2
1,"POPULAR",2020,1,0,143039,47464,3.01363138378561,1,2
1,"POPULAR",2020,2,2,143039,47464,3.01363138378561,1,2
1,"POPULAR",2020,3,0,143039,47464,3.01363138378561,1,2
1,"POPULAR",2020,4,0,143039,47464,3.01363138378561,1,2
1,"POPULAR",2020,5,0,143039,47464,3.01363138378561,1,2
1,"POPULAR",2020,6,2,143039,47464,3.01363138378561,1,2
1,"POPULAR",2020,7,0,143039,47464,3.01363138378561,1,2
1,"POPULAR",2020,8,1,143039,47464,3.01363138378561,1,2
1,"POPULAR",2020,9,1,143039,47464,3.01363138378561,1,2
1,"POPULAR",2020,10,0,143039,47464,3.01363138378561,1,2
1,"POPULAR",2020,11,3,143039,47464,3.01363138378561,1,2
1,"POPULAR",2020,12,2,143039,47464,3.01363138378561,1,2
1,"POPULAR",2021,1,1,145235,49136,2.95577580592641,1,2
1,"POPULAR",2021,2,1,145235,49136,2.95577580592641,1,2
1,"POPULAR",2021,3,1,145235,49136,2.95577580592641,1,2
1,"POPULAR",2021,4,0,145235,49136,2.95577580592641,1,2
1,"POPULAR",2021,5,1,145235,49136,2.95577580592641,1,2
1,"POPULAR",2021,6,0,145235,49136,2.95577580592641,1,2
1,"POPULAR",2021,7,0,145235,49136,2.95577580592641,1,2
1,"POPULAR",2021,8,1,145235,49136,2.95577580592641,1,2
1,"POPULAR",2021,9,0,145235,49136,2.95577580592641,1,2
1,"POPULAR",2021,10,2,145235,49136,2.95577580592641,1,2
1,"POPULAR",2021,11,0,145235,49136,2.95577580592641,1,2
1,"POPULAR",2021,12,3,145235,49136,2.95577580592641,1,2
1,"POPULAR",2022,1,0,147382,50832,2.89939408246774,1,2
1,"POPULAR",2022,2,0,147382,50832,2.89939408246774,1,2
1,"POPULAR",2022,3,2,147382,50832,2.89939408246774,1,2
1,"POPULAR",2022,4,2,147382,50832,2.89939408246774,1,2
1,"POPULAR",2022,5,1,147382,50832,2.89939408246774,1,2
1,"POPULAR",2022,6,0,147382,50832,2.89939408246774,1,2
1,"POPULAR",2022,7,3,147382,50832,2.89939408246774,1,2
1,"POPULAR",2022,8,1,147382,50832,2.89939408246774,1,2
1,"POPULAR",2022,9,1,147382,50832,2.89939408246774,1,2
1,"POPULAR",2022,10,1,147382,50832,2.89939408246774,1,2
1,"POPULAR",2022,11,1,147382,50832,2.89939408246774,1,2
1,"POPULAR",2022,12,0,147382,50832,2.89939408246774,1,2
1,"POPULAR",2023,1,0,149586,52566,2.84567971692729,1,2
1,"POPULAR",2023,2,2,149586,52566,2.84567971692729,1,2
1,"POPULAR",2023,3,1,149586,52566,2.84567971692729,1,2
1,"POPULAR",2023,4,2,149586,52566,2.84567971692729,1,2
1,"POPULAR",2023,5,1,149586,52566,2.84567971692729,1,2
1,"POPULAR",2023,6,1,149586,52566,2.84567971692729,1,2
1,"POPULAR",2023,7,2,149586,52566,2.84567971692729,1,2
1,"POPULAR",2023,8,2,149586,52566,2.84567971692729,1,2
1,"POPULAR",2023,9,1,149586,52566,2.84567971692729,1,2
1,"POPULAR",2023,10,0,149586,52566,2.84567971692729,1,2
1,"POPULAR",2023,11,0,149586,52566,2.84567971692729,1,2
1,"POPULAR",2023,12,0,149586,52566,2.84567971692729,1,2
2,"SANTA CRUZ",2018,1,0,113064,34895,3.24012036108325,2,2
2,"SANTA CRUZ",2018,2,0,113064,34895,3.24012036108325,2,2
2,"SANTA CRUZ",2018,3,1,113064,34895,3.24012036108325,2,2
2,"SANTA CRUZ",2018,4,2,113064,34895,3.24012036108325,2,2
2,"SANTA CRUZ",2018,5,1,113064,34895,3.24012036108325,2,2
2,"SANTA CRUZ",2018,6,1,113064,34895,3.24012036108325,2,2
2,"SANTA CRUZ",2018,7,0,113064,34895,3.24012036108325,2,2
2,"SANTA CRUZ",2018,8,1,113064,34895,3.24012036108325,2,2
2,"SANTA CRUZ",2018,9,1,113064,34895,3.24012036108325,2,2
2,"SANTA CRUZ",2018,10,1,113064,34895,3.24012036108325,2,2
