"COMUNA","AÑO","MES","TOTAL_HOMICIDIOS","POBLACION","ESTRATO","POLICIAS"
"ALTAVISTA","2018","1",1,38856,"2",0
"ALTAVISTA","2018","2",5,38856,"2",0
"ALTAVISTA","2018","3",1,38856,"2",0
"ALTAVISTA","2018","4",6,38856,"2",0
"ALTAVISTA","2018","5",10,38856,"2",0
"ALTAVISTA","2018","6",1,38856,"2",0
"ALTAVISTA","2018","7",6,38856,"2",0
"ALTAVISTA","2018","8",2,38856,"2",0
"ALTAVISTA","2018","9",7,38856,"2",0
"ALTAVISTA","2018","10",4,38856,"2",0
"ALTAVISTA","2018","12",3,38856,"2",0
"ALTAVISTA","2019","1",5,40150,"2",0
"ALTAVISTA","2019","2",4,40150,"2",0
"ALTAVISTA","2019","3",5,40150,"2",0
"ALTAVISTA","2019","4",4,40150,"2",0
"ALTAVISTA","2019","5",5,40150,"2",0
"ALTAVISTA","2019","6",3,40150,"2",0
"ALTAVISTA","2019","8",3,40150,"2",0
"ALTAVISTA","2019","9",3,40150,"2",0
"ALTAVISTA","2019","10",2,40150,"2",0
"ALTAVISTA","2019","11",1,40150,"2",0
"ALTAVISTA","2019","12",1,40150,"2",0
"ALTAVISTA","2020","2",1,41350,"2",0
"ALTAVISTA","2020","3",3,41350,"2",0
"ALTAVISTA","2020","4",1,41350,"2",0
"ALTAVISTA","2020","5",1,41350,"2",0
"ALTAVISTA","2020","6",1,41350,"2",0
"ALTAVISTA","2020","7",1,41350,"2",0
"ALTAVISTA","2020","8",2,41350,"2",0
"ALTAVISTA","2021","1",1,42442,"2",0
"ALTAVISTA","2021","3",1,42442,"2",0
"ALTAVISTA","2021","4",2,42442,"2",0
"ALTAVISTA","2021","5",2,42442,"2",0
"ALTAVISTA","2021","6",1,42442,"2",0
"ALTAVISTA","2021","7",2,42442,"2",0
"ALTAVISTA","2021","8",1,42442,"2",0
"ALTAVISTA","2021","9",1,42442,"2",0
"ALTAVISTA","2021","11",1,42442,"2",0
"ALTAVISTA","2022","3",1,43556,"2",0
"ALTAVISTA","2022","5",1,43556,"2",0
"ALTAVISTA","2022","7",1,43556,"2",0
"ALTAVISTA","2022","8",1,43556,"2",0
"ALTAVISTA","2022","9",1,43556,"2",0
"ALTAVISTA","2022","10",2,43556,"2",0
"ALTAVISTA","2023","2",2,44665,"2",0
"ALTAVISTA","2023","4",1,44665,"2",0
"ALTAVISTA","2023","10",4,44665,"2",0
"ARANJUEZ","2018","1",5,141312,"3",0
"ARANJUEZ","2018","2",2,141312,"3",0
"ARANJUEZ","2018","3",3,141312,"3",0
"ARANJUEZ","2018","4",1,141312,"3",0
"ARANJUEZ","2018","5",4,141312,"3",0
"ARANJUEZ","2018","6",8,141312,"3",0
"ARANJUEZ","2018","8",5,141312,"3",0
"ARANJUEZ","2018","9",1,141312,"3",0
"ARANJUEZ","2018","10",6,141312,"3",0
"ARANJUEZ","2018","11",2,141312,"3",0
"ARANJUEZ","2018","12",2,141312,"3",0
