OBJECTID,Shape,nombre_establecimiento,sede_educativa,nucleo,servicio,sector,direccion,telefono,estado,vigencia,x_origen_nacional,y_origen_nacional,clasificacion,codigo_dane,cons_sede,dane_sede,longitud,latitud,cbml,codigo_comuna,nombre_comuna,codigo_barrio,nombre_barrio
1,"(4709906.189500002, 2248917.6252999995)",Institucion Educativa America,Seccion Escuela Betania,930,Oficial,Oficial,CR 110A  34 82,2531582,Activo,2024,4709906.1895,2248917.6253,Oficial-Sede,105001008206,10500101188602,105001011886,-75.62261393,6.24621318,13120170009,13,San Javier,1312,Betania
2,"(4716640.758600001, 2241235.3987000026)",Colegio Montessori,Colegio Montessori,932,No Oficial,No Oficial,CL 20A SUR # 20 55,3171430,Activo,2024,4716640.7586,2241235.3987,No Oficial-Principal,305001010781,30500101078101,305001010781,-75.56143542,6.17705986,14120090001,14,El Poblado,1412,San Lucas
3,"(4706079.1137, 2256570.3181)",Centro Educativo Pedregal Alto,Centro Educativo Boqueron,936,Oficial,Oficial,VDA BOQUERO  ,3148681036,Activo,2024,4706079.1137,2256570.3181,Oficial-Sede,205001003195,20500102145202,205001021452,-75.65753884,6.31522036,60160020023,60,San Cristóbal,6006,Boquerón
4,"(4710387.7692, 2255111.7967000008)",Centro Educativo Pedregal Alto,Centro Educativo El Yolombo,936,Oficial,Oficial,VDA EL YOLOMBO,3148681036,Activo,2024,4710387.7692,2255111.7967,Oficial-Sede,205001008464,20500102145203,205001021452,-75.61854296,6.30223227,60140000126,60,San Cristóbal,6009,Yolombo
5,"(4717942.173400001, 2255261.048100002)",Institucion Educativa Fe Y Alegria Jose Maria Velaz,Institucion Educativa Fe Y Alegria Jose Maria Velaz,915,Oficial,Oficial,CL 121 48 67,4644146 - 3017340972,Activo,2024,4717942.1734,2255261.0481,Oficial-Principal,105001000001,10500100000101,105001000001,-75.55029261,6.30392003,02010080049,02,Santa Cruz,0201,La Isla
6,"(4717907.5224, 2253981.1249)",Institucion Educativa Barrio Santa Cruz,Institucion Educativa Barrio Santa Cruz,915,Oficial,Oficial,CL 103 43 A 45,5294058,Activo,2024,4717907.5224,2253981.1249,Oficial-Principal,105001000043,10500100004301,105001000043,-75.55054919,6.29234695,01050350037,02,Santa Cruz,0209,Moscú No.1
7,"(4716651.268100001, 2248924.9157)",Institucion Educativa Centro Formativo De Antioquia -Cefa,Institucion Educativa Centro Formativo De Antioquia -Cefa,928,Oficial,Oficial,CL 50 41 50,217 53 37,Activo,2024,4716651.2681,2248924.9157,Oficial-Principal,105001000108,10500100010801,105001000108,-75.56167676,6.24657947,10160050013,10,La Candelaria,1016,Boston
8,"(4713121.5616, 2246021.8315000013)",Institucion Educativa Jose Maria Bernal,Institucion Educativa Jose Maria Bernal,935,Oficial,Oficial,CR 70 A 13 A 19,3432086/3454793,Activo,2024,4713121.5616,2246021.8315,Oficial-Principal,105001000132,10500100013201,105001000132,-75.5934368,6.22017773,16069990044,16,Belén,1606,Las Playas
9,"(4717140.5426, 2252226.5668)",Institucion Educativa Presbitero Camilo Torres Restrepo,Institucion Educativa Presbitero Camilo Torres Restrepo,917,Oficial,Oficial,CR 49 83 34,5163058- 300 4124789,Activo,2024,4717140.5426,2252226.5668,Oficial-Principal,105001000141,10500100014101,105001000141,-75.55740167,6.27645049,04100340024,04,Aranjuez,0410,Campo Valdés No.1
10,"(4718149.909100001, 2252255.7035000026)",Institucion Educativa Gabriel Restrepo Moreno,Institucion Educativa Gabriel Restrepo Moreno,916,Oficial,Oficial,CR 39 A 85 59,2631645,Activo,2024,4718149.9091,2252255.7035,Oficial-Principal,105001000175,10500100017501,105001000175,-75.54828316,6.27675839,03020230008,03,Manrique,0302,Las Granjas
11,"(4718101.522100001, 2252221.2430000007)",Institucion Educativa Gabriel Restrepo Moreno,Seccion Escuela Santa Bernardita,916,Oficial,Oficial,CR 40    85A-20,2632428,Activo,2024,4718101.5221,2252221.243,Oficial-Sede,105001002852,10500100017502,105001000175,-75.54871883,6.27644471,03020230007,03,Manrique,0302,Las Granjas
12,"(4716532.033600001, 2252639.249399999)",Institucion Educativa San Agustin,Institucion Educativa San Agustin,918,Oficial,Oficial,CL 88 A 51 B 91,2630607,Activo,2024,4716532.0336,2252639.2494,Oficial-Principal,105001000205,10500100020501,105001000205,-75.56291787,6.28015455,04130110057,04,Aranjuez,0413,Aranjuez
13,"(4716800.995700001, 2248827.8073999994)",Institucion Educativa Hector Abad Gomez,Institucion Educativa Hector Abad Gomez,928,Oficial,Oficial,CL 50 39 65,2161258-2163805,Activo,2024,4716800.9957,2248827.8074,Oficial-Principal,105001000256,10500100025601,105001000256,-75.56031976,6.24570812,10160070001,10,La Candelaria,1016,Boston
14,"(4716083.877200001, 2248468.5315000005)",Institucion Educativa Hector Abad Gomez,Seccion Escuela Dario Londoño Cardona,928,Oficial,Oficial,CL 44 43 96,262 35 88,Activo,2024,4716083.8772,2248468.5315,Oficial-Sede,105001026158,10500100025602,105001000256,-75.56678278,6.24242843,10140370059,10,La Candelaria,1014,Las Palmas
15,"(4717433.953100001, 2249709.812300002)",Institucion Educativa Juan De La Cruz Posada,Institucion Educativa Juan De La Cruz Posada,924,Oficial,Oficial,CL 62 39 22,2549659,Activo,2024,4717433.9531,2249709.8123,Oficial-Principal,105001000353,10500100035301,105001000353,-75.55463995,6.25370996,08030170001,08,Villa Hermosa,0803,San Miguel
16,"(4717244.3618, 2249506.1685000006)",Institucion Educativa Juan De La Cruz Posada,Seccion Escuela Hipolito Londoño Mesa,924,Oficial,Oficial,CR 40 59 A 52,2925480,Activo,2024,4717244.3618,2249506.1685,Oficial-Sede,105001003158,10500100035302,105001000353,-75.55634391,6.25186053,10170280001,10,La Candelaria,1017,Los Ángeles
17,"(4717176.700200001, 2249568.681500001)",Institucion Educativa Juan De La Cruz Posada,Seccion Colegio Agustin Nieto Caballero,924,Oficial,Oficial,CR 40 59 A 21,2926320,Activo,2024,4717176.7002,2249568.6815,Oficial-Sede,105001002577,10500100035304,105001000353,-75.55695796,6.25242272,10170270005,10,La Candelaria,1017,Los Ángeles
