"COMUNA","TOTAL_2018","TOTAL_2019","TOTAL_2020","TOTAL_2021","TOTAL_2022","TOTAL_2023","TOTAL_2024","TOTAL_2025","TOTAL_2026","TOTAL_2027","TOTAL_2028","TOTAL_2029","TOTAL_2030"
"POPULAR",136986,140218,143039,145235,147382,149586,152365,154823,157097,159185,161056,162647,164029
"SANTA CRUZ",113064,115588,117744,119374,120959,122573,124610,126425,128072,129542,130835,131961,132892
"MANRIQUE",164858,168724,172090,174692,177232,179793,182988,185895,188577,190985,193138,195105,196795
"ARANJUEZ",141312,142990,144233,144815,145325,145837,146611,147250,147680,147905,147885,147721,147337
"CASTILLA",123992,125276,126200,126587,126939,127289,127722,128067,128261,128292,128147,127765,127202
"DOCE DE OCTUBRE",177190,179493,181235,182165,183012,183889,185191,186227,187015,187521,187763,187738,187428
"ROBLEDO",189238,194042,198274,201656,204954,208305,212453,216194,219669,222840,225717,228344,230614
"VILLA HERMOSA",153216,157668,161728,165061,168399,171776,175756,179508,183078,186425,189545,192463,195149
"BUENOS AIRES",155391,160045,164279,167860,171416,175014,179159,183086,186832,190341,193632,196755,199606
"LA CANDELARIA",75913,77053,77926,78478,78937,79404,79892,80444,80892,81199,81409,81582,81671
"LAURELES",99904,100749,101316,101473,101632,101796,101396,101487,101456,101296,101045,100710,100257
"LA AMERICA",85416,86403,87128,87489,87849,88207,88382,88714,88925,89020,89028,88931,88710
"SAN JAVIER",157243,161562,165436,168649,171854,175122,178903,182447,185812,188970,191916,194582,197006
"EL POBLADO",106805,108345,109600,110479,111343,112257,112850,113594,114223,114730,115127,115272,115267
"GUAYABAL",64651,65011,65146,65024,64856,64713,64509,64320,64052,63691,63261,62714,62086
"BELEN",202931,206745,210015,212479,214967,217501,219847,222266,224468,226416,228107,229308,230195
"PALMITAS",5474,5689,5885,6073,6281,6485,6712,6936,7151,7365,7577,7787,7989
"SAN CRISTOBAL",116420,123483,130514,137277,144316,151677,160320,168924,177709,186673,195761,205111,214593
"ALTAVISTA",38856,40150,41350,42442,43556,44665,45978,47189,48379,49542,50641,51659,52627
"SAN ANTONIO DE PRADO",94801,99358,103822,107996,112336,116838,121944,126953,131958,137011,142026,146934,151793
"SANTA ELENA",23468,24953,26464,27916,29413,31002,32855,34715,36606,38536,40509,42551,44644
